user_id,post_id,post_content,post_date
151652,599415,Need a hug,07/10/2021 12:00:00
661093,624356,Bed. Class 8-12. Work 12-3. Gym 3-5 or 6. Then class 6-10. Another day that's gonna fly by. I miss my girlfriend,07/29/2021 13:00:00
4239,784254,Happy 4th of July!,07/04/2021 11:00:00
661093,442560,Just going to cry myself to sleep after watching Marley and Me.,07/08/2021 14:00:00
151652,111766,I'm so done with covid - need travelling ASAP!,07/12/2021 19:00:00
990412,200000,Missing my vacation days ğŸ–ï¸,07/17/2021 17:00:00
745210,200001,Missing my vacation days ğŸ–ï¸,08/13/2021 15:00:00
502349,200002,Sleep is overrated ğŸ˜‚,08/21/2021 20:00:00
745210,200003,Got promoted today!,08/17/2021 19:00:00
502349,200004,Dinner was amazing tonight!,06/15/2021 14:00:00
392015,200005,Just finished coding my first app!,06/26/2021 16:00:00
4239,200006,Whoâ€™s up for a movie night?,07/15/2021 07:00:00
392015,200007,Enjoying some quiet time.,08/28/2021 22:00:00
204512,200008,Sleep is overrated ğŸ˜‚,07/24/2021 21:00:00
990412,200009,Coffee + Code = Perfect Morning,07/17/2021 12:00:00
990412,200010,Got promoted today!,08/04/2021 22:00:00
502349,200011,My dog just ate my homework!,06/06/2021 20:00:00
4239,200012,What a game last night!,07/17/2021 21:00:00
990412,200013,Whoâ€™s up for a movie night?,07/24/2021 22:00:00
745210,200014,Missing my vacation days ğŸ–ï¸,07/20/2021 07:00:00
4239,200015,Missing my vacation days ğŸ–ï¸,07/16/2021 20:00:00
661093,200016,Coffee + Code = Perfect Morning,06/06/2021 15:00:00
661093,200017,Trying a new workout routine ğŸ’ª,07/30/2021 06:00:00
661093,200018,New beginnings ahead ğŸŒ…,06/06/2021 15:00:00
151652,200019,Reading a great book on personal growth.,07/29/2021 13:00:00
392015,200020,Can't believe how fast this year is flying by.,06/03/2021 16:00:00
661093,200021,Just finished coding my first app!,06/05/2021 08:00:00
4239,200022,Whoâ€™s up for a movie night?,07/25/2021 14:00:00
502349,200023,My dog just ate my homework!,08/23/2021 18:00:00
502349,200024,What a beautiful morning!,08/04/2021 15:00:00
